DATE,LOL,HON,DO2,GW2,XIV,WOW,ESO,EQN,WIS
6/1/2014 4:19,9734693,1152693,1732209,1038279,437867,5551237,1860124,60325,226633
6/1/2014 4:25,9734755,1152693,1732222,1038280,437869,5551244,1860122,60325,226636
6/1/2014 4:59,9735094,1152701,1732279,1038283,437877,5551307,1860120,60325,226658
6/1/2014 15:11,9742147,1152928,1733481,1038405,438079,5552458,1860156,60341,227605
6/1/2014 17:35,9743534,1152946,1733668,1038436,438120,5552670,1860156,60344,227736
6/1/2014 18:05,9743784,1152947,1733709,1038438,438127,5552709,1860150,60344,227768
6/1/2014 18:07,9743800,1152946,1733711,1038438,438127,5552712,1860151,60344,227769
6/2/2014 0:01,9746419,1153035,1734296,1038489,438193,5553331,1860177,60350,227958
6/2/2014 6:01,9749286,1153114,1734993,1038508,438250,5553671,1860184,60354,228275
6/2/2014 12:01,9753588,1153234,1735948,1038567,438308,5553998,1860159,60369,228796
6/2/2014 18:01,9756919,1153236,1736495,1038663,438382,5554459,1860211,60377,229389
6/3/2014 0:01,9759507,1153286,1737167,1038703,438444,5554744,1860196,60379,229686
6/3/2014 6:01,9762024,1153366,1737842,1038737,438475,5554910,1860147,60386,230228
6/3/2014 18:01,9769743,1153555,1739014,1038860,438586,5555582,1860208,60408,231371
6/4/2014 0:01,9772390,1153642,1739536,1038911,438662,5555894,1860222,60418,231848
6/4/2014 12:01,9779880,1153882,1740892,1039013,438769,5556269,1860298,60432,232582
6/4/2014 18:01,9783367,1153942,1741392,1039106,438814,5556761,1860288,60441,233126
6/5/2014 0:01,9786007,1154025,1741993,1039158,438845,5557152,1860348,60445,233525
6/5/2014 6:01,9788477,1154111,1742510,1039202,438893,5557310,1860341,60450,233813
6/5/2014 12:01,9792279,1154214,1743222,1039220,439005,5557718,1860326,60460,234201
6/5/2014 18:01,9799833,1154253,1743821,1039266,439097,5558330,1860398,60461,234667
6/6/2014 0:01,9805742,1154303,1744356,1039312,439181,5558794,1860380,60456,235061
6/6/2014 6:01,9811101,1154406,1744971,1039348,439235,5558985,1860366,60456,235304
6/6/2014 12:01,9817365,1154526,1745839,1039413,439312,5559353,1860430,60466,235629
6/6/2014 18:01,9821587,1154556,1746411,1039491,439381,5559882,1860504,60480,236010
6/7/2014 0:01,9825370,1154653,1747069,1039525,439460,5560297,1860572,60488,236341
6/7/2014 6:01,9829315,1154852,1747766,1039574,439513,5560483,1860611,60492,236538
6/7/2014 12:01,9834315,1154941,1748492,1039657,439593,5560839,1860682,60501,236840
2014-06-07 18:01,9837894,1154971,1749016,1039745,439675,5561304,1860755,60511,237148
2014-06-08 00:01,9841201,1155039,1749517,1039806,439732,5561723,1860818,60518,237432
2014-06-08 06:01,9844663,1155134,1750196,1039844,439792,5561941,1860849,60521,237665
2014-06-08 12:01,9848380,1155224,1750997,1039900,439880,5562328,1860915,60528,237935
2014-06-08 18:01,9851912,1155257,1751580,1039977,439973,5562745,1861004,60533,238260
2014-06-09 00:01,9854617,1155319,1752130,1040026,440028,5563022,1861070,60541,238565
2014-06-09 06:01,9857433,1155446,1752719,1040076,440083,5563219,1861085,60549,238773
2014-06-09 12:01,9861776,1155540,1753454,1040130,440158,5563663,1861044,60564,239127
2014-06-09 18:01,9865365,1155555,1753918,1040212,440268,5564193,1861053,60579,239465
2014-06-10 00:01,9868894,1155621,1754496,1040263,440346,5564529,1861112,60582,239696
2014-06-10 06:01,9872684,1155719,1755080,1040320,440420,5564824,1861078,60588,239998
2014-06-10 12:01,9879514,1155912,1755857,1040359,440490,5565339,1861194,60596,240292
2014-06-10 18:01,9884476,1155921,1756353,1040407,440642,5565849,1861340,60609,240599
2014-06-11 00:01,9887582,1156010,1757030,1040454,440807,5566196,1861532,60614,240840
2014-06-11 06:01,9890777,1156128,1757552,1040509,440927,5566437,1861617,60626,240991
2014-06-11 12:01,9895273,1156302,1758247,1040602,441056,5566798,1861742,60636,241225
2014-06-11 18:01,9898587,1156320,1758753,1040677,441197,5567174,1861844,60644,241458
2014-06-12 00:01,9901536,1156372,1759404,1040711,441303,5567486,1861948,60650,241628
2014-06-12 06:01,9904537,1156476,1760041,1040747,441388,5567663,1862025,60655,241761
2014-06-12 12:01,9908754,1156608,1760794,1040802,441501,5567978,1862026,60665,241954
2014-06-12 18:01,9911940,1156584,1761204,1040877,441604,5568452,1862119,60672,242192
2014-06-13 00:01,9914449,1156621,1761557,1040925,441700,5568771,1862136,60683,242351
2014-06-13 06:01,9917027,1156726,1762049,1040937,441787,5568898,1862152,60691,242501
2014-06-13 12:01,9921052,1156907,1762731,1040984,441877,5569201,1862264,60699,242702
2014-06-13 18:01,9923834,1156937,1763137,1041014,441980,5569663,1862331,60715,242887
2014-06-14 00:01,9927347,1157054,1763631,1041075,442060,5570030,1862416,60723,243072
2014-06-14 06:01,9930489,1157193,1764200,1041122,442126,5570272,1862472,60734,243179
2014-06-14 12:01,9934907,1157261,1764998,1041190,442208,5570697,1862577,60745,243315
2014-06-14 18:01,9939672,1157278,1765488,1041254,442316,5571112,1862683,60753,243482
2014-06-15 00:01,9945956,1157347,1766124,1041305,442394,5571452,1862765,60763,243620
2014-06-15 06:01,9949537,1157454,1766655,1041347,442474,5571663,1862827,60770,243699
2014-06-15 12:01,9953186,1157517,1767351,1041406,442584,5571985,1862912,60782,243810
2014-06-15 18:01,9957305,1157550,1767808,1041487,442700,5572328,1863066,60789,243949
2014-06-16 00:01,9959863,1157604,1768259,1041528,442781,5572628,1863147,60807,244041
2014-06-16 06:01,9962152,1157676,1768779,1041566,442848,5572775,1863145,60807,244113
2014-06-16 12:01,9965597,1157778,1769464,1041637,442938,5573082,1863195,60816,244202
2014-06-16 18:01,9968661,1157768,1769891,1041692,443079,5573344,1863280,60826,244343
2014-06-17 00:01,9971160,1157809,1770371,1041738,443172,5573660,1863320,60836,244429
