DATE,LOL,HON,DO2,GW2,XIV,WOW,ESO,EQN,WIS
6/7/2014 2:15,1,1,1,1,1,1,1,1,1
6/7/2014 2:20,14,1,11,5,4,4,1,1,10
6/7/2014 2:31,68,1,38,5,7,9,8,2,27
6/7/2014 2:40,114,3,25,3,7,12,6,2,28
6/7/2014 2:50,54,1,37,5,13,12,5,1,40
6/7/2014 3:01,51,1,40,6,4,14,5,1,51
6/7/2014 3:10,101,1,32,4,15,7,2,2,45
6/7/2014 3:20,49,1,44,4,9,15,5,1,31
6/7/2014 3:31,57,2,34,2,8,11,7,3,31
6/7/2014 3:40,108,4,35,3,11,5,1,3,24
6/7/2014 3:50,48,1,41,6,8,11,4,1,28
6/7/2014 4:01,42,2,30,4,8,13,4,2,36
6/7/2014 4:10,105,1,35,4,7,3,5,2,30
6/7/2014 4:20,76,1,40,4,6,10,7,2,31
6/7/2014 4:31,49,1,36,7,6,10,5,1,28
6/7/2014 4:40,119,1,24,5,13,7,3,1,28
6/7/2014 4:50,63,1,45,4,9,14,3,1,34
6/7/2014 5:01,76,1,34,5,11,14,6,2,26
6/7/2014 5:10,95,3,40,2,12,10,17,1,35
6/7/2014 5:20,69,1,38,8,10,4,12,1,30
6/7/2014 5:31,66,1,43,3,16,9,13,1,26
6/7/2014 5:40,102,1,32,5,5,12,7,1,17
6/7/2014 5:50,34,1,18,2,6,9,5,1,7
6/7/2014 6:01,70,2,44,3,12,9,3,1,30
6/7/2014 6:10,110,2,34,3,9,8,6,1,18
6/7/2014 6:20,63,1,28,5,11,9,6,1,13
6/7/2014 6:31,66,1,60,8,6,3,10,1,21
6/7/2014 6:40,100,2,34,1,6,6,5,2,32
6/7/2014 6:50,69,1,43,4,14,8,4,3,26
6/7/2014 7:01,43,1,31,4,7,8,11,2,27
6/7/2014 7:10,148,9,60,5,4,9,7,1,28
6/7/2014 7:20,78,1,48,4,14,20,12,1,28
6/7/2014 7:31,67,1,35,10,8,8,14,1,22
6/7/2014 7:40,127,1,46,7,6,14,8,5,17
6/7/2014 7:50,78,1,44,5,6,27,6,1,40
6/7/2014 8:01,80,1,40,7,8,19,15,1,33
6/7/2014 8:10,136,5,35,5,9,11,4,1,26
6/7/2014 8:20,84,1,55,8,6,16,8,1,29
6/7/2014 8:31,62,1,42,9,12,8,13,3,32
6/7/2014 8:40,150,1,45,7,11,4,11,2,34
6/7/2014 8:50,96,2,50,10,13,8,9,1,37
6/7/2014 9:01,49,2,58,7,10,11,7,1,28
6/7/2014 9:10,187,3,52,3,9,16,14,1,33
6/7/2014 9:20,136,1,56,7,10,13,12,1,32
6/7/2014 9:31,82,2,47,9,12,23,11,3,35
6/7/2014 9:40,212,1,51,4,7,15,12,2,31
6/7/2014 9:50,106,1,69,8,16,12,8,1,46
6/7/2014 10:01,86,1,104,13,6,9,7,1,39
6/7/2014 10:10,220,1,49,8,14,15,10,2,38
6/7/2014 10:20,195,2,77,12,11,16,10,2,39
6/7/2014 10:31,93,1,67,5,12,11,7,1,34
6/7/2014 10:40,184,1,66,5,14,11,9,1,39
6/7/2014 10:50,117,2,52,5,8,11,4,2,29
6/7/2014 11:01,93,1,41,4,9,19,7,2,58
6/7/2014 11:10,208,1,45,4,14,10,13,1,37
6/7/2014 11:20,116,1,62,10,16,6,8,2,60
6/7/2014 11:31,68,1,49,7,13,11,13,1,66
6/7/2014 11:40,207,2,67,2,7,10,11,1,60
6/7/2014 11:50,94,1,56,10,14,15,12,2,65
6/7/2014 12:01,72,1,58,7,8,19,11,2,64
6/7/2014 12:10,205,2,49,5,8,10,11,3,37
6/7/2014 12:20,108,1,48,4,12,5,15,2,47
6/7/2014 12:31,82,3,50,6,15,7,12,1,40
6/7/2014 12:40,193,1,44,4,16,5,11,1,81
6/7/2014 12:50,80,1,94,8,17,18,15,1,43
6/7/2014 13:01,175,1,124,10,11,21,8,2,48
6/7/2014 13:10,173,1,33,10,13,21,12,3,45
6/7/2014 13:20,120,1,48,15,14,12,14,2,39
6/7/2014 13:30,90,1,38,11,17,9,8,1,48
6/7/2014 13:40,179,1,37,7,9,17,15,2,37
6/7/2014 13:50,141,1,44,7,12,14,10,2,36
6/7/2014 14:00,107,1,37,3,17,8,12,6,43
6/7/2014 14:10,155,1,30,2,5,6,8,3,32
6/7/2014 14:20,100,1,27,6,12,6,10,1,33
6/7/2014 14:40,111,1,40,5,8,8,15,1,87
6/7/2014 14:50,79,1,24,5,6,9,9,1,46
6/7/2014 15:00,75,1,29,4,8,6,13,1,57
6/7/2014 15:10,117,2,26,3,10,6,11,1,43
6/7/2014 15:20,143,1,28,5,12,11,9,2,37
6/7/2014 15:30,93,1,24,7,9,12,22,2,47
6/7/2014 15:40,107,1,15,3,3,11,14,1,28
6/7/2014 15:50,80,1,33,7,9,12,9,1,30
6/7/2014 16:00,68,1,29,5,7,11,9,1,36
6/7/2014 16:10,77,3,32,6,10,13,8,1,45
6/7/2014 16:20,116,3,34,1,15,11,14,1,40
6/7/2014 16:30,66,1,136,2,11,13,15,1,40
6/7/2014 16:40,88,1,27,4,9,9,6,1,37
6/7/2014 16:50,68,2,24,7,8,10,14,1,31
6/7/2014 17:00,69,1,26,3,12,10,13,1,60
6/7/2014 17:10,65,3,28,2,8,12,9,1,48
6/7/2014 17:20,81,1,26,6,9,6,3,1,31
6/7/2014 17:40,53,2,26,6,14,21,20,3,80
6/7/2014 17:50,51,1,21,3,8,6,7,1,37
6/7/2014 18:10,80,4,18,4,19,10,3,1,39
6/7/2014 18:20,66,1,24,3,12,6,8,2,37
6/7/2014 18:40,57,1,22,7,9,12,11,2,62
6/7/2014 18:50,72,1,19,3,13,10,7,1,29
6/7/2014 19:10,53,1,30,4,6,10,7,1,42
6/7/2014 19:20,83,1,51,12,14,21,13,2,45
6/7/2014 19:30,75,1,53,6,13,16,17,1,36
6/7/2014 19:40,75,2,48,8,10,17,9,1,50
6/7/2014 19:50,72,1,29,6,11,10,23,1,33
6/7/2014 20:00,65,1,19,3,9,13,8,1,44
6/7/2014 20:10,65,1,26,6,11,6,10,1,23
6/7/2014 20:20,70,1,37,2,11,13,8,1,40
2014-06-08 00:00,40,1,31,5,11,3,8,1,31
2014-06-08 00:08,46,1,28,3,9,3,8,1,20
2014-06-08 00:10,9,1,9,1,1,2,1,1,7
2014-06-08 00:20,64,1,34,2,11,5,8,1,28
2014-06-08 00:24,19,1,24,6,2,4,1,1,15
2014-06-08 00:30,19,1,19,2,7,6,7,1,10
2014-06-08 00:40,48,1,32,4,11,6,9,1,23
2014-06-08 00:50,31,1,27,5,10,8,2,1,24
2014-06-08 01:00,35,1,32,6,10,4,8,1,23
2014-06-08 01:10,88,16,45,2,14,41,14,1,22
2014-06-08 01:20,63,1,31,7,7,15,9,1,30
2014-06-08 01:30,55,1,32,2,8,8,8,1,19
2014-06-08 01:40,112,1,25,4,7,6,9,2,14
2014-06-08 01:50,101,1,34,3,9,8,6,2,24
2014-06-08 02:00,41,1,42,4,6,9,5,2,25
2014-06-08 02:10,127,1,34,6,7,12,1,1,24
2014-06-08 02:20,62,2,48,4,15,12,9,2,29
2014-06-08 02:30,45,1,41,7,6,4,11,1,32
2014-06-08 02:40,113,2,41,6,10,1,10,1,17
2014-06-08 02:50,54,1,40,3,6,9,7,1,24
2014-06-08 03:00,46,2,35,5,7,13,9,1,38
2014-06-08 03:10,107,1,38,5,6,11,4,1,64
2014-06-08 03:20,67,1,41,9,10,10,8,10,43
2014-06-08 03:30,62,1,36,6,12,11,3,1,38
2014-06-08 03:40,146,2,27,3,10,7,7,1,31
2014-06-08 03:50,74,1,40,7,8,7,4,1,22
2014-06-08 04:00,51,1,45,3,14,10,6,1,32
2014-06-08 04:10,130,1,15,1,11,16,10,1,31
2014-06-08 04:20,57,1,39,2,14,11,4,1,21
2014-06-08 04:30,45,1,46,6,6,14,9,1,15
2014-06-08 04:40,128,1,36,1,9,4,9,2,20
2014-06-08 04:50,66,4,21,2,9,6,2,1,26
2014-06-08 05:00,46,2,29,17,7,7,4,1,32
2014-06-08 05:10,124,1,33,1,9,5,4,3,25
2014-06-08 05:20,67,1,34,5,13,5,6,1,18
2014-06-08 05:30,63,1,31,3,6,9,4,1,19
2014-06-08 05:40,110,1,24,4,9,7,5,1,20
2014-06-08 05:50,61,1,39,9,4,10,3,2,29
2014-06-08 06:00,51,1,46,10,7,11,8,1,33
2014-06-08 06:10,137,3,33,7,9,6,5,1,28
2014-06-08 06:20,97,2,35,11,9,6,3,1,26
2014-06-08 06:30,79,1,43,12,7,12,6,1,21
2014-06-08 06:40,140,2,37,3,11,9,4,1,29
2014-06-08 06:50,56,1,29,4,10,3,5,2,19
2014-06-08 07:00,47,1,37,5,10,12,4,1,23
2014-06-08 07:10,121,1,44,6,10,4,7,1,20
2014-06-08 07:20,68,1,47,10,17,8,12,1,26
2014-06-08 07:30,45,1,53,12,6,11,7,1,32
2014-06-08 07:40,159,1,58,4,7,17,7,1,22
2014-06-08 07:50,97,1,60,6,11,12,8,1,24
2014-06-08 08:00,84,1,56,8,7,10,7,1,33
2014-06-08 08:10,167,3,60,7,8,7,10,2,21
2014-06-08 08:20,101,2,61,7,9,9,4,2,34
2014-06-08 08:30,60,1,47,6,9,10,7,1,22
2014-06-08 08:40,172,1,52,6,6,3,7,1,27
2014-06-08 08:50,97,2,84,6,9,7,8,1,30
2014-06-08 09:00,48,1,83,3,11,9,10,2,38
2014-06-08 09:10,209,1,53,3,11,11,5,1,23
2014-06-08 09:20,115,1,59,4,11,13,11,1,29
2014-06-08 09:30,65,2,99,3,7,10,3,3,30
2014-06-08 09:40,178,1,98,2,9,5,14,1,23
2014-06-08 09:50,104,2,848,8,12,10,9,1,26
2014-06-08 10:00,67,1,797,3,21,8,5,1,33
2014-06-08 10:10,169,3,288,8,11,9,7,1,37
2014-06-08 10:20,191,1,264,2,15,37,10,1,26
2014-06-08 10:30,66,1,226,7,13,11,7,1,29
2014-06-08 10:40,182,1,199,4,6,13,17,1,41
2014-06-08 10:50,73,1,140,7,13,8,15,2,29
2014-06-08 11:00,63,2,134,6,12,8,10,2,67
2014-06-08 11:10,151,1,136,4,7,15,13,1,76
2014-06-08 11:20,127,1,122,14,14,4,7,1,55
2014-06-08 11:30,88,1,115,5,12,8,9,2,47
2014-06-08 11:40,156,1,140,9,10,17,15,2,31
2014-06-08 11:50,88,1,85,6,15,12,18,2,45
2014-06-08 12:00,80,1,111,6,12,9,7,1,48
2014-06-08 12:10,193,13,76,10,11,10,21,2,55
2014-06-08 12:20,120,2,109,4,17,10,16,1,58
2014-06-08 12:30,90,1,90,4,4,8,11,2,224
2014-06-08 12:40,113,1,76,7,14,11,12,3,39
2014-06-08 12:50,79,1,72,4,13,6,14,1,52
2014-06-08 13:00,73,2,83,8,5,30,11,1,39
2014-06-08 13:10,131,3,66,5,17,21,12,1,37
2014-06-08 13:20,84,1,56,14,13,14,8,1,42
2014-06-08 13:30,102,1,63,8,3,7,10,1,42
2014-06-08 13:40,92,1,40,6,4,7,6,1,53
2014-06-08 13:50,89,1,48,6,5,15,10,1,44
2014-06-08 14:00,118,1,58,4,11,15,13,4,80
2014-06-08 14:10,125,1,43,5,11,12,11,2,50
2014-06-08 14:20,104,1,29,5,16,7,17,1,65
2014-06-08 14:30,78,1,29,5,12,10,18,1,45
